"Gross Average Monthly Wages by Country and Year"

"Indicator";"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"US$, at current Exchange Rates";"Sweden";2268.2;2333.8;2496.7;1937.1;2060.6;2295.2;2608.7;2419.7;2405.9;2398.4;2253.3;2055.7;2258.5;2793.0;3189.2;3233.0;3386.3;3880.7;4179.0;3697.5;4000.6;4556.0;4483.6;4742.8;4619.0;3857.3;3896.5
"US$, at current Exchange Rates";"Switzerland";3269.8;3389.6;3652.1;3590.9;3930.3;4615.3;4486.7;3913.2;3932.7;3863.5;3510.0;3659.8;4012.1;4682.2;5046.3;5170.0;5223.4;5617.8;6391.9;6459.9;6753.5;7982.5;7613.2;7762.5;7842.5;7356.5;7143.6
"US$, at current Exchange Rates";"Tajikistan";..;..;8.2;15.6;14.2;7.5;10.1;8.8;11.8;9.4;7.7;10.1;11.9;14.7;20.9;27.0;35.2;47.4;67.6;68.6;80.8;95.9;117.2;145.9;165.3;142.6;..
"US$, at current Exchange Rates";"The former Yugoslav Republic of Macedonia";..;..;..;..;..;..;..;..;..;297.8;273.0;263.0;295.0;368.4;421.2;433.0;472.7;540.7;629.7;681.1;651.4;692.4;640.4;669.1;675.3;579.3;589.8
"US$, at current Exchange Rates";"Turkey";..;..;..;..;..;..;..;..;..;..;..;..;..;..;801.4;..;765.6;..;1155.7;..;1004.0;..;..;..;1008.8;..;..
"US$, at current Exchange Rates";"Turkmenistan";..;..;..;..;54.9;68.0;22.2;44.8;55.5;63.6;114.8;168.9;182.7;336.5;..;484.6;..;487.6;260.9;237.8;260.6;297.5;331.0;367.4;404.5;360.9;368.6
"US$, at current Exchange Rates";"Ukraine";..;..;..;35.9;43.6;49.8;68.8;76.9;62.7;43.0;42.3;57.9;70.6;86.6;110.9;157.3;206.1;267.5;342.9;244.6;282.1;330.5;378.7;408.5;292.8;192.0;202.8
"US$, at current Exchange Rates";"United Kingdom";2062.0;2231.1;2351.4;2086.2;2201.1;2330.5;2383.2;2618.4;2818.6;2872.9;2836.2;2843.5;3034.6;3423.2;3994.6;4033.3;4299.2;4902.8;4577.7;3982.5;4003.9;4206.5;4221.4;4235.1;4519.6;4247.5;3843.1
"US$, at current Exchange Rates";"United States";2231.0;2321.2;2442.0;2482.5;2528.2;2593.1;2688.1;2802.1;2943.6;3058.2;3245.8;3343.5;3409.4;3514.3;3670.4;3779.6;3938.6;4124.6;4235.0;4260.6;4361.8;4481.8;4604.7;4642.9;4782.7;4920.7;5012.8
"US$, at current Exchange Rates";"Uzbekistan";..;..;..;..;24.8;35.4;53.0;48.7;47.3;57.2;..;39.3;39.2;41.3;52.2;..;..;..;..;..;..;0.5;0.6;0.6;0.6;0.6;..
